CONTENT_TITLE_EN,CONTENT_STATUS,ACTOR,DIRECTOR,GENRE
100,published,yogi babu,sam anton,action
100,published,atharvaa,sam anton,drama
100,published,radha ravi,sam anton,drama
100,published,yogi babu,sam anton,drama
100,published,hansika,sam anton,drama
100,published,hansika,sam anton,action
100,published,radha ravi,sam anton,action
100,published,atharvaa,sam anton,action
100 Days Of Love,published,sekhar menon,jenuse mohamed,comedy
100 Days Of Love,published,nithya menen,jenuse mohamed,comedy
100 Days Of Love,published,sekhar menon,jenuse mohamed,romance drama
100 Days Of Love,published,aju varghese,jenuse mohamed,comedy
100 Days Of Love,published,dulquer salmaan,jenuse mohamed,comedy
100 Days Of Love,published,nithya menen,jenuse mohamed,romance drama
100 Days Of Love,published,aju varghese,jenuse mohamed,romance drama
100 Days Of Love,published,dulquer salmaan,jenuse mohamed,romance drama
100 Trailer,published,hansika,sam anton,drama
100 Trailer,published,radha ravi,sam anton,drama
100 Trailer,published,atharvaa,sam anton,drama
100 Trailer,published,yogi babu,sam anton,drama
100 Trailer,published,hansika,sam anton,action
100 Trailer,published,radha ravi,sam anton,action
100 Trailer,published,yogi babu,sam anton,action
100 Trailer,published,atharvaa,sam anton,action
11th Hour Trailer,published,tamannaah bhatia,praveen sattaru,drama
11th Hour Trailer,published,madhusudhan rao,praveen sattaru,drama
11th Hour Trailer,published,vamsi krishna,praveen sattaru,drama
11th Hour Trailer,published,arun adith,praveen sattaru,drama
3 Monkeys,published,sudigali sudheer,g anil kumar,comedy
3 Monkeys,published,sudigali sudheer,g anil kumar,thriller
3 Monkeys,published,karunya chowdary,g anil kumar,thriller
3 Monkeys,published,ram prasad,g anil kumar,thriller
3 Monkeys,published,karunya chowdary,g anil kumar,comedy
3 Monkeys,published,getup srinu,g anil kumar,comedy
3 Monkeys,published,getup srinu,g anil kumar,thriller
3 Monkeys,published,ram prasad,g anil kumar,comedy
3 Roses,published,eesha rebba,maggi,comedy
3 Roses,published,ishan,maggi,drama
3 Roses,published,purnaa,maggi,comedy
3 Roses,published,eesha rebba,maggi,drama
3 Roses,published,payal rajput,maggi,drama
3 Roses,published,purnaa,maggi,drama
3 Roses,published,payal rajput,maggi,comedy
3 Roses,published,ishan,maggi,comedy
3 Roses Trailer,published,ishan,maggi,drama
3 Roses Trailer,published,purnaa,maggi,comedy
3 Roses Trailer,published,eesha rebba,maggi,comedy
3 Roses Trailer,published,ishan,maggi,comedy
3 Roses Trailer,published,payal rajput,maggi,drama
3 Roses Trailer,published,eesha rebba,maggi,drama
3 Roses Trailer,published,payal rajput,maggi,comedy
3 Roses Trailer,published,purnaa,maggi,drama
30 Rojullo Preminchadam Ela?,published,pradeep machiraju,munna,romance comedy
30 Rojullo Preminchadam Ela?,published,hyper adhi,munna,romance comedy
30 Rojullo Preminchadam Ela?,published,amritha aiyer,munna,romance comedy
30 Rojullo Preminchadam Ela?,published,harsha chemudu,munna,romance comedy
30 Rojullo Preminchadam Ela? Trailer,published,pradeep machiraju,munna,romance comedy
30 Rojullo Preminchadam Ela? Trailer,published,harsha chemudu,munna,romance comedy
30 Rojullo Preminchadam Ela? Trailer,published,amritha aiyer,munna,romance comedy
30 Rojullo Preminchadam Ela? Trailer,published,hyper adhi,munna,romance comedy
36 Vayasulo,published,jyothika,roshan andrews,drama
36 Vayasulo,published,abhirami,roshan andrews,drama
36 Vayasulo,published,rahman,roshan andrews,drama
36 Vayasulo,published,amritha anil,roshan andrews,drama
36 Vayasulo Trailer,published,rahman,roshan andrews,drama
36 Vayasulo Trailer,published,amritha anil,roshan andrews,drama
36 Vayasulo Trailer,published,abhirami,roshan andrews,drama
36 Vayasulo Trailer,published,jyothika,roshan andrews,drama
7G Rainbow Colony,published,sonia agarwal,selvaraghavan,romance
7G Rainbow Colony,published,ravi krishna,selvaraghavan,romance
7G Rainbow Colony,published,vijayan,selvaraghavan,romance
7G Rainbow Colony,published,suman setty,selvaraghavan,romance
7G Rainbow Colony Trailer,published,vijayan,selvaraghavan,romance
7G Rainbow Colony Trailer,published,sonia agarwal,selvaraghavan,romance
7G Rainbow Colony Trailer,published,suman setty,selvaraghavan,romance
7G Rainbow Colony Trailer,published,ravi krishna,selvaraghavan,romance
96,published,gouri g kishan,c prem kumar,romance
96,published,trisha,c prem kumar,romance
96,published,trisha,c prem kumar,drama
96,published,vijay sethupathi,c prem kumar,romance
96,published,gouri g kishan,c prem kumar,drama
96,published,vijay sethupathi,c prem kumar,drama
96,published,adithya bhaskar,c prem kumar,romance
96,published,adithya bhaskar,c prem kumar,drama
96 Trailer,published,gouri g kishan,c prem kumar,romance
96 Trailer,published,trisha,c prem kumar,drama
96 Trailer,published,trisha,c prem kumar,romance
96 Trailer,published,gouri g kishan,c prem kumar,drama
96 Trailer,published,adithya bhaskar,c prem kumar,drama
96 Trailer,published,vijay sethupathi,c prem kumar,romance
96 Trailer,published,adithya bhaskar,c prem kumar,romance
96 Trailer,published,vijay sethupathi,c prem kumar,drama
A Mare's Nest,published,sri lakshmi,pradeep deva kumar,thriller
A Mare's Nest,published,samyukta hornad,pradeep deva kumar,thriller
A Mare's Nest,published,satyadev,pradeep deva kumar,crime
A Mare's Nest,published,aberaam varma,pradeep deva kumar,crime
A Mare's Nest,published,samyukta hornad,pradeep deva kumar,crime
A Mare's Nest,published,sri lakshmi,pradeep deva kumar,crime
A Mare's Nest,published,satyadev,pradeep deva kumar,thriller
A Mare's Nest,published,aberaam varma,pradeep deva kumar,thriller
Aadhi parvam,published,priyadarshi pulikonda,vidhyasagar muthukumar,crime
Aadhi parvam,published,vikas,vidhyasagar muthukumar,crime
Aadhi parvam,published,posani krishna murali,vidhyasagar muthukumar,crime
Aadhi parvam,published,nandini rai,vidhyasagar muthukumar,crime
Aasai,published,ajith,vasanth,romance
Aasai,published,prakash raj,vasanth,romance
Aasai,published,rohini,vasanth,romance
Aasai,published,suvalakshmi,vasanth,romance
Aasai Trailer,published,prakash raj,vasanth,romance
Aasai Trailer,published,suvalakshmi,vasanth,romance
Aasai Trailer,published,rohini,vasanth,romance
Aasai Trailer,published,ajith,vasanth,romance
Action,published,akanksha puri,sundar c.,comedy
Action,published,tamannaah bhatia,sundar c.,comedy
Action,published,vishal,sundar c.,comedy
Action,published,aishwarya lekshmi,sundar c.,comedy
Addham,published,jayaprakash,sarjun km,drama
Addham,published,m. praveen,sarjun km,drama
Addham,published,kishore,sarjun km,drama
Addham,published,rohini,sarjun km,drama
Adhurs,published,nayanthara,v v vinayak,action
Adhurs,published,brahmanandam,v v vinayak,comedy
Adhurs,published,jr. ntr,v v vinayak,comedy
Adhurs,published,jr. ntr,v v vinayak,action
Adhurs,published,sheela,v v vinayak,action
Adhurs,published,brahmanandam,v v vinayak,action
Adhurs,published,nayanthara,v v vinayak,comedy
Adhurs,published,sheela,v v vinayak,comedy
Adhurs Trailer,published,jr. ntr,v v vinayak,action
Adhurs Trailer,published,sheela,v v vinayak,comedy
Adhurs Trailer,published,brahmanandam,v v vinayak,comedy
Adhurs Trailer,published,sheela,v v vinayak,action
Adhurs Trailer,published,brahmanandam,v v vinayak,action
Adhurs Trailer,published,nayanthara,v v vinayak,comedy
Adhurs Trailer,published,nayanthara,v v vinayak,action
Adhurs Trailer,published,jr. ntr,v v vinayak,comedy
Agent Sai Srinivasa Athreya,published,appaji ambarisha darbha,swaroop rsj,comedy
Agent Sai Srinivasa Athreya,published,shruti sharma,swaroop rsj,comedy
Agent Sai Srinivasa Athreya,published,shredha rajagopalan,swaroop rsj,comedy
Agent Sai Srinivasa Athreya,published,naveen polishetty,swaroop rsj,comedy
Airas Fan Part 1,published,tina,jonathan vesapogu,romance drama
Airas Fan Part 1,published,santosh shoban,jonathan vesapogu,romance drama
Airas Fan Part 1,published,jhansi,jonathan vesapogu,romance drama
Airas Fan Part 1,published,venkat,jonathan vesapogu,romance drama
Airas Fan Part 2,published,venkat,jonathan vesapogu,romance drama
Airas Fan Part 2,published,tina,jonathan vesapogu,romance drama
Airas Fan Part 2,published,santosh shoban,jonathan vesapogu,romance drama
Airas Fan Part 2,published,jhansi,jonathan vesapogu,romance drama
Aithava Hero...?,published,anvesh michael,anvesh michael,drama
Aithava Hero...?,published,jagadeesh prathap bandari,anvesh michael,drama
Aithava Hero...?,published,raj tirandasu,anvesh michael,drama
Aithava Hero...?,published,thanmai bolt,anvesh michael,drama
Akash Vaani,published,deepak paramesh,enoc able,romance comedy
Akash Vaani,published,kavin,enoc able,romance comedy
Akash Vaani,published,reba john,enoc able,romance comedy
Akash Vaani,published,sharath ravi,enoc able,romance comedy
Alaipayuthey,published,swarnamalya,mani ratnam,romance
Alaipayuthey,published,shalini,mani ratnam,romance
Alaipayuthey,published,vivek,mani ratnam,romance
Alaipayuthey,published,r madhavan,mani ratnam,romance
Alexander,published,ishan,maggi,drama
Alexander,published,ishan,maggi,comedy
Alexander,published,purnaa,maggi,drama
Alexander,published,purnaa,maggi,comedy
Alexander,published,eesha rebba,maggi,drama
Alexander,published,payal rajput,maggi,comedy
Alexander,published,payal rajput,maggi,drama
Alexander,published,eesha rebba,maggi,comedy
All Is Well,published,suma kanakala,sanjeev k kumar,comedy
All Is Well with Suma and Nandhini Reddy,published,nandini reddy,sanjeev k kumar,comedy
All Is Well with Suma and Nandhini Reddy,published,suma kanakala,sanjeev k kumar,comedy
All Is Well with Suma and Nani,published,nani,sanjeev k kumar,comedy
All Is Well with Suma and Nani,published,suma kanakala,sanjeev k kumar,comedy
All Is Well with Suma and Nithin,published,nithiin,sanjeev k kumar,comedy
All Is Well with Suma and Nithin,published,suma kanakala,sanjeev k kumar,comedy
All Is Well with Suma and Rana,published,rana daggubati,sanjeev k kumar,comedy
All Is Well with Suma and Rana,published,suma kanakala,sanjeev k kumar,comedy
